"Spp","Long","Lat"
"Leptoglossus zonatus",-106.32203,23.877182
"Atta mexicana",-97.09676,18.854446
"Atta mexicana",-100.280908,25.642485
"Atta mexicana",-100.500976,22.140522
"Atta mexicana",-101.383091,20.663639
"Atta mexicana",-103.468518,19.705015
"Atta mexicana",-101.180344,19.698607
"Atta mexicana",-96.722366,17.058114
"Leptoglossus zonatus",-98.55077,20.254343
"Atta mexicana",-110.946453,31.335083
"Atta mexicana",-99.082972,18.985461
"Leptoglossus zonatus",-99.056913,19.568567
"Atta mexicana",-102.314539,21.909974
"Atta mexicana",-106.449421,23.282888
"Atta mexicana",-97.654145,18.263296
"Atta mexicana",-102.291568,21.885256
"Atta mexicana",-102.291513,21.884434
"Leptoglossus zonatus",-99.011994,19.618946
"Atta mexicana",-96.16351,19.103904
"Atta mexicana",-96.199771,15.772745
"Leptoglossus zonatus",-98.989664,19.399493
"Heilipus lauri",-86.738396,15.097327
"Leptoglossus zonatus",-101.514026,21.031865
"Atta mexicana",-100.265262,25.777693
"Atta mexicana",-107.406955,24.779073
"Leptoglossus zonatus",-96.655946,18.428748
"Leptoglossus zonatus",-103.340316,25.528861
"Atta mexicana",-97.025589,15.842103
"Atta mexicana",-99.201977,18.782276
"Atta mexicana",-99.216287,18.918305
"Atta mexicana",-100.723579,20.03965
"Atta mexicana",-99.147147,22.983597
"Atta mexicana",-106.442209,23.237141
"Atta mexicana",-103.314843,20.722479
"Leptoglossus zonatus",-72.936753,4.601458
"Atta mexicana",-100.094124,20.411843
"Atta mexicana",-103.724918,19.267832
"Atta mexicana",-102.915403,21.852628
"Atta mexicana",-100.159612,21.104971
"Atta mexicana",-100.26326,25.638022
"Leptoglossus zonatus",-99.238757,18.922059
"Leptoglossus zonatus",-101.329822,21.26216
"Leptoglossus zonatus",-79.4727,9.059321
"Leptoglossus zonatus",-96.669158,16.786676
"Atta mexicana",-98.930747,18.925849
"Atta mexicana",-102.269538,21.894645
"Leptoglossus zonatus",-38.935338,-4.262733
"Atta mexicana",-101.395112,20.686742
"Leptoglossus zonatus",-103.26494,20.683043
"Atta mexicana",-102.314415,21.914762
"Atta mexicana",-103.321225,20.624299
"Atta mexicana",-102.557878,22.76598
"Trioza anceps",-99.168495,19.355763
"Atta mexicana",-103.52442,20.719719
"Atta mexicana",-101.001923,22.130803
"Atta mexicana",-96.886214,19.527096
"Atta mexicana",-103.307096,19.471516
"Atta mexicana",-87.006795,14.013399
"Atta mexicana",-103.495103,20.531308
"Atta mexicana",-99.232903,18.938915
"Atta mexicana",-99.082439,18.986572
"Atta mexicana",-105.331572,20.510142
"Atta mexicana",-104.847503,21.469188
"Atta mexicana",-104.330208,19.116192
"Atta mexicana",-99.188606,21.02402
"Atta mexicana",-105.229444,20.787778
"Leptoglossus zonatus",-89.635475,21.023961
"Atta mexicana",-103.717313,19.251895
"Leptoglossus zonatus",-75.836506,5.303069
"Atta mexicana",-98.299583,19.055397
"Atta mexicana",-105.45627,20.491838
"Leptoglossus zonatus",-89.907853,14.887451
"Leptoglossus zonatus",-71.995887,-36.637112
"Atta mexicana",-100.25255,19.280571
"Atta mexicana",-99.112853,18.73212
"Leptoglossus zonatus",-78.446111,-0.119167
"Atta mexicana",-110.949783,29.151306
"Leptoglossus zonatus",-89.004814,14.128372
"Trioza anceps",-99.1631,19.350187
"Atta mexicana",-99.08296,18.985487
"Leptoglossus zonatus",-103.501875,25.58964
"Atta mexicana",-93.146202,16.743009
"Atta mexicana",-101.196902,19.698984
"Atta mexicana",-103.46167,19.724967
"Atta mexicana",-103.18,20.3
"Monalonion velezangeli",-74.045137,4.671506
"Atta mexicana",-102.884123,21.172411
"Atta mexicana",-103.468518,19.705017
"Leptoglossus zonatus",-78.375253,-0.221627
"Atta mexicana",-102.923374,21.059894
"Atta mexicana",-98.967708,18.810168
"Atta mexicana",-103.425019,20.67259
"Atta mexicana",-100.283372,25.675725
"Atta mexicana",-87.091958,14.00952
"Atta mexicana",-100.206166,20.943347
"Atta mexicana",-96.997353,19.401826
"Leptoglossus zonatus",-99.803594,20.686043
"Atta mexicana",-97.457893,18.332109
"Atta mexicana",-100.322914,25.79178
"Leptoglossus zonatus",-100.750825,20.908489
"Leptoglossus zonatus",-100.318347,20.498172
"Atta mexicana",-99.230962,18.857495
"Atta mexicana",-98.954117,18.816292
"Atta mexicana",-105.024556,19.443033
"Atta mexicana",-98.431109,18.885718
"Atta mexicana",-103.397957,20.709618
"Atta mexicana",-103.316815,20.74282
"Atta mexicana",-106.322008,23.877137
"Atta mexicana",-105.215976,20.633235
"Atta mexicana",-112.880778,31.915282
"Atta mexicana",-102.315847,21.888222
"Atta mexicana",-102.362509,21.889016
"Atta mexicana",-100.263619,25.578491
"Atta mexicana",-103.440558,20.665945
"Atta mexicana",-103.537072,20.125492
"Atta mexicana",-96.694748,19.534577
"Leptoglossus zonatus",-105.49136,28.198307
"Atta mexicana",-100.36833,25.664687
"Atta mexicana",-102.291994,21.885224
"Atta mexicana",-97.407725,20.953328
"Leptoglossus zonatus",-110.976905,28.859764
"Atta mexicana",-97.759835,19.975717
"Atta mexicana",-96.194244,15.769793
"Atta mexicana",-101.394884,20.686177
"Atta mexicana",-100.800162,20.974829
"Atta mexicana",-92.618503,15.806244
"Atta mexicana",-99.08276,18.985409
"Atta mexicana",-100.439918,19.892164
"Atta mexicana",-109.73626,29.287062
"Atta mexicana",-96.139076,15.763528
"Atta mexicana",-101.325379,20.679249
"Atta mexicana",-86.982506,13.987469
"Atta mexicana",-102.884024,21.172703
"Atta mexicana",-105.245535,21.036897
"Atta mexicana",-101.221252,19.649202
"Atta mexicana",-100.232882,25.792864
"Atta mexicana",-109.986751,27.487788
"Atta mexicana",-97.853112,20.727382
"Atta mexicana",-96.170231,15.756096
"Leptoglossus zonatus",-49.869938,-22.97988
"Atta mexicana",-96.520667,17.031764
"Atta mexicana",-106.430388,23.232197
"Leptoglossus zonatus",-104.686699,24.009718
"Leptoglossus zonatus",-105.471565,28.27303
"Atta mexicana",-104.163547,21.036185
"Atta mexicana",-100.129127,19.186717
"Atta mexicana",-106.703306,24.4084
"Leptoglossus zonatus",-107.376279,24.810388
"Atta mexicana",-103.456222,20.737147
"Atta mexicana",-93.1845,16.763727
"Atta mexicana",-100.208256,25.730124
"Atta mexicana",-101.14836,19.67413
"Trioza anceps",-99.194288,19.344678
"Atta mexicana",-97.164987,18.789843
"Atta mexicana",-103.317222,20.574897
"Atta mexicana",-105.314882,20.428717
"Atta mexicana",-111.117506,30.171435
"Atta mexicana",-99.195765,18.970314
"Atta mexicana",-102.331626,21.986444
"Atta mexicana",-101.181094,19.68483
"Atta mexicana",-100.516531,21.304067
"Atta mexicana",-102.43253,21.028968
"Leptoglossus zonatus",-106.541389,23.588929
"Atta mexicana",-106.212197,23.408419
"Leptoglossus zonatus",-100.25673,25.705005
"Leptoglossus zonatus",-84.457302,10.047793
"Atta mexicana",-106.33573,23.612495
"Atta mexicana",-100.371338,20.623125
"Atta mexicana",-103.425561,20.62115
"Leptoglossus zonatus",-46.578117,-22.533123
"Atta mexicana",-103.414476,20.625995
"Atta mexicana",-109.989252,27.50213
"Leptoglossus zonatus",-84.16932,9.971037
"Atta mexicana",-89.512471,14.989839
"Atta mexicana",-103.194223,20.347506
"Leptoglossus zonatus",-117.046807,32.411848
"Atta mexicana",-105.557731,20.415675
"Atta mexicana",-98.133984,18.943809
"Atta mexicana",-105.349985,20.34128
"Atta mexicana",-99.511635,21.30868
"Leptoglossus zonatus",-100.437926,20.522091
"Atta mexicana",-97.422816,20.955467
"Trioza anceps",-99.183005,19.422103
"Atta mexicana",-100.388082,20.522117
"Leptoglossus zonatus",-79.024167,-2.893889
"Atta mexicana",-100.00238,21.93191
"Atta mexicana",-102.383764,22.217483
"Leptoglossus zonatus",-97.790419,21.286182
"Atta mexicana",-98.223103,20.389704
"Atta mexicana",-105.216213,20.6625
"Atta mexicana",-100.293188,25.735988
"Atta mexicana",-101.263278,19.692783
"Atta mexicana",-103.292862,20.194508
"Leptoglossus zonatus",-75.593807,6.217017
"Atta mexicana",-97.116247,18.845841
"Atta mexicana",-96.168289,15.75634
"Atta mexicana",-100.176111,21.089167
"Atta mexicana",-100.300473,25.767895
"Atta mexicana",-107.358765,24.938654
"Atta mexicana",-113.019722,31.944095
"Atta mexicana",-107.263971,24.862531
"Atta mexicana",-105.243958,20.591469
"Atta mexicana",-101.136731,19.678605
"Atta mexicana",-103.51556,20.007217
"Atta mexicana",-100.291714,25.736952
"Atta mexicana",-112.814603,31.88228
"Atta mexicana",-105.344226,20.494655
"Atta mexicana",-108.949358,27.014497
"Atta mexicana",-109.933294,27.572954
"Atta mexicana",-101.229004,19.687747
"Leptoglossus zonatus",-79.836673,9.165248
"Atta mexicana",-104.928345,21.503819
"Heilipus lauri",-75.502582,6.060991
"Atta mexicana",-97.402115,20.967521
"Atta mexicana",-96.764845,17.046755
"Atta mexicana",-102.291182,21.793191
"Atta mexicana",-100.123022,19.201089
"Heilipus lauri",-83.577592,9.4719
"Leptoglossus zonatus",-103.332093,20.290881
"Atta mexicana",-100.310676,25.730333
"Atta mexicana",-106.443466,23.299564
"Atta mexicana",-92.285208,14.8743
"Atta mexicana",-100.499558,20.686103
"Atta mexicana",-106.445358,23.259506
"Atta mexicana",-90.519837,14.584042
"Atta mexicana",-100.446372,20.703422
"Leptoglossus zonatus",-100.4162,20.550542
"Leptoglossus zonatus",-58.805758,-27.474663
"Atta mexicana",-100.360239,20.529886
"Atta mexicana",-106.429803,23.232619
"Atta mexicana",-100.653933,20.041097
"Atta mexicana",-100.31471,25.717431
"Atta mexicana",-99.156308,18.715116
"Atta mexicana",-98.213244,19.028333
"Atta mexicana",-100.264375,25.647943
"Leptoglossus zonatus",-111.379656,25.580858
"Atta mexicana",-106.228083,23.499597
"Atta mexicana",-100.720543,20.034922
"Leptoglossus zonatus",-101.164951,19.687767
"Atta mexicana",-102.781635,20.852328
"Atta mexicana",-100.277321,25.754004
"Atta mexicana",-101.07496,22.245242
"Anastrepha ludens",-99.038264,19.573152
"Atta mexicana",-90.472931,14.652131
"Leptoglossus zonatus",-98.246592,26.002446
"Atta mexicana",-100.330226,25.644158
"Atta mexicana",-100.389888,20.588751
"Atta mexicana",-100.689371,20.208409
"Leptoglossus zonatus",-86.979899,13.988535
"Atta mexicana",-98.991525,20.643288
"Atta mexicana",-99.206834,18.84585
"Leptoglossus zonatus",-100.791122,20.515908
